"nanyangSiteId","siteNameZh","siteNameAlt1","siteNameAlt2","latitude","longitude"
"fi-wf-001",,"museum in the centre of the town",,5.548424,95.320907
"fi-wf-002","天益社","Tianyi she",,,
"fi-wf-003","新墳場","new cemetery",,5.502208,95.29529
"fi-wf-004","忠魂碑","memorial site for Japanese soldiers killed in action",,,
"fi-wf-005","華人義山","Chinese Cemetery","Komplek Kuburan Cina",5.199494,96.717094
"fi-wf-006","與水宮","Xingshui gong","Vihara Murni Sakti, Tepekong Chin Sui Co Su",4.951961,97.770905
"fi-wf-007","華人義山","Chinese Cemetery",,,
"fi-wf-008","華人墓地","Chinese Cemetery","Komplek Kuburan Cina Kuala Simpang",4.290857,98.0807
"fi-wf-009","華人義山","Chinese Cemetery",,4.468944,97.95855
"fi-wf-010","清水祖師廟","Qingshui zushi miao",,,
"fi-wf-011","華人義山","Chinese Cemetery","Chinese Cemetery Lhokseumawe",5.169419,97.12632
"fi-wf-012","廣福宮","Guangfu gong","Vihara Buddha Dharma Sabang",5.889887,95.322908
"fi-wf-013","中華義山","old Chinese Cemetery","Perkuburan Umum China",5.897143,95.32342
"fi-wf-014","廣福堂","Guangfu tang","Kelenteng Seuruway",4.354867,98.17982
"fi-wf-015","華人義山","Chinese Cemetery","Komplek Kuburan Cina Kuala Simpang",4.290941,98.08072
"fi-wf-016","關帝廟","Guandi miao",,,
"fi-wf-017","清音禪寺","Qingyin chansi",,,
"fi-wf-018","壽山宮","Shoushan gong","Siu San Keng Temple",3.733034,98.675269
"fi-wf-019","武帝廟（關帝廟）","Wudi miao, Guandi gong",,,
"fi-wf-020","真君廟","Zhenjun miao","Vihara Go Ya Kong",3.687214,98.665384
"fi-wf-021","天后宮","Tianhou gong (Wihara Ariya Satyani)","Vihara Ariya Satyani ( Dewi Maco)",3.581772,98.684383
"fi-wf-022","真君廟","Zhenjun miao","Pekong Go Ya Kong",3.709077,98.66729
"fi-wf-023","鎮蓮寺","Zhenlian si",,,
"fi-wf-024","觀音亭","Guanyin ting (Vihara Vimala Marga Runmah Ibadah Agama Buddha or Kwang Im Teng)","Wihara Vimala Marga",3.585012,98.69006
"fi-wf-025","寶蓮堂","Baolian tang","Vihara Bodhi Shanti",3.583759,98.690031
"fi-wf-026","太平寺","Taiping si","Vihara Dharma Diepa",3.588865,98.69354
"fi-wf-027","廣福亭","Guangfu ting","Wihara Vimala Marga",3.585148,98.69006
"fi-wf-028","崇聖宮","Chongsheng gong","Vihara Metta Karuna",3.591059,98.690549
"fi-wf-029","福臨宮","Fulin gong",,,
"fi-wf-030","鼎福堂","Dingfu tang",,,
"fi-wf-031","五顯宮","Wuxian gong",,,
"fi-wf-032","列聖宮","Liesheng gong","San Jiao Sheng Temple",3.73289,98.675171
"fi-wf-033","老武漢中華義山","Chinese Cemetery of Labuhan",,3.713677,98.69023
"fi-wf-034","昔福建義山","former Fujian Cemetery",,,
"fi-wf-035","張鴻南家墳地","private cemetery of the family of former Major Zhang Hongnan",,3.629834,98.66724
"fi-wf-036","江夏堂義山","cemetery of Jiangxia tang",,,
"fi-wf-037","蘇東中學","Sutomo School, Sudong Zhongxue (East Sumatra Secondary School)",,3.630645,98.66527
"fi-wf-038","昔張煜南公館","former residence of Major Zhang Yunan","Tjong A Fie Mansion",3.585385,98.68023
"fi-wf-039","昔張鴻南公館","former residence of Major Zhang Hongnan","Tjong A Fie Mansion",3.585385,98.68023
"fi-wf-040","昔華人義山","ancient Chinese Cemetery","Kuburan Cina Kinali",2.012946,98.39322
"fi-wf-041","福德廟","Fude miao","Vihara Ksitigarbha",3.199161,98.52233
"fi-wf-042","華僑義山","Chinese Cemetery","Pemakaman Tionghoa",3.198247,98.52257
"fi-wf-043","鎮元宮","Zhenyuan gong","Vihara Setia Buddha",3.611013,98.49212
"fi-wf-044","華人義山","Chinese Cemetery",,3.595723,98.44751
"fi-wf-045","玉皇宮","Yuhuang gong","KELENTENG PEK BE LAU SHE KONG",0.814444,104.187718
"fi-wf-046","華人義山","Chinese Cemetery",,,
"fi-wf-047","觀音廟","Guanyin miao","Vihara Vimala Dharma",1.289946,97.61887
"fi-wf-048","華人義山","Chinese Cemetery",,1.309943,97.6054
"fi-wf-049","華僑義山","Chinese Cemetery",,,
"fi-wf-050","九鯉洞","Jiuli dong, Nine Carps Grotto","Vihara Maha Bodhisattva",2.981837,99.63053
"fi-wf-051","華人義山","Chinese Cemetery","PEMAKAMAN TIONGHOA",2.974389,99.63604
"fi-wf-052","昔韓江會館","former Hanjiang huiguan",,,
"fi-wf-053","廣福宮","Guangfu gong","Vihara Toa Pek Kong",3.561427,98.877548
"fi-wf-054","武山寺","Wushan si","Vihara Budi Abadi",3.564992,98.87351
"fi-wf-055","華人義山","Chinese Cemetery","Tpu TIONGHOA",3.560419,98.86177
"fi-wf-056","昔華人義山","ancient Chinese Cemetery",,,
"fi-wf-057","新華人義山","new Chinese Cemetery","Makam Tionghoa SANTIONG",1.388826,99.25704
"fi-wf-058","華人義山","Chinese Cemetery",,,
"fi-wf-059","華人義山","Chinese Cemetery",,4.007511,98.26738
"fi-wf-060","中華義山","Chinese Cemetery",,3.132579,99.14595
"fi-wf-061","廣福宮","Guangfu gong",,,
"fi-wf-062","福蓮堂","Fulian tang",,,
"fi-wf-063","雷音寺","Leiyin si",,,
"fi-wf-064","中華義山","Chinese Cemetery",,2.960253,99.06041
"fi-wf-065","貧僑收容所","Asylun for impowerished Chinese residents",,,
"fi-wf-066","華人義山","Chinese Cemetery",,2.032403,100.0819
"fi-wf-067","清山寺","Qingshan si","Vihara Avalokiteśvara",3.157676,99.329
"fi-wf-068","華人義山","Chinese Cemetery",,3.156709,99.30438
"fi-wf-069","觀音亭","Guanyinting","Cetiya Avalokitesvara",1.739641,98.78352
"fi-wf-070","舊義山","ancient Chinese Cemetery","kuburan cina",1.740306,98.78611
"fi-wf-071","福建義山","Fujian Cemetery",,3.757312,98.45476
"fi-wf-072","武當山","Wudangshan","Vihara Hut Chou Kong Hian Tiang Sang Tie",3.472036,99.14299
"fi-wf-073","正直堂","Zhengzhi tang",,,
"fi-wf-074","中華義山","Chinese Cemetery","Perkuburan Tionghoa Sei Rampah",3.489055,99.13349
"fi-wf-075","紫雲宮","Ziyun gong","Vihara Arya Satyani Sien Co",2.968348,99.8064
"fi-wf-076","福蓮寺","Fulian si","Vihara avalokitesvara",2.964598,99.80526
"fi-wf-077","舊義山","ancient Chinese Cemetery",,,
"fi-wf-078","華山塚","new Chinese Cemetery",,2.926615,99.74039
"fi-wf-079","五祖廟","Wuzu miao (Wihara Oekong Lima), temple of the Five Ancestors","Vihara Pekong Lima",3.541524,98.81038
"fi-wf-080","文公廟","Wengong miao (Vihara Pek Kong)","Vihara Pek Kong",3.541517,98.81052
"fi-wf-081","華人義山","Chinese Cemetery","Pemakaman Tionghoa Goco",3.540809,98.81126
"fi-wf-082","鳳田宮","Fentian gong, Guangze zunwang miao","Kelenteng Ong Tien Keng",3.894403,98.42118
"fi-wf-083","清齋廟","Qingzhai miao","Vihara Maha Suci",3.896407,98.42068
"fi-wf-084","華人舊義山","old Chinese Cemetery",,,
"fi-wf-085","華人新義山","new Chinese Cemetery",,3.945815,98.37093
"fi-wf-086","廣福宮","Guangfu gong","Vihara Maha Dana",3.330288,99.16257
"fi-wf-087","九鯉洞","Jiuli dong","Kiu Lie Tong",3.331251,99.16012
"fi-wf-088","中華義山","Chinese Cemetery",,3.322282,99.17706
"fi-wf-089","昔福建會館","former Fujian Huiguan",,,
"fi-wf-090","水顯宮","Shuixian gong",,,
"fi-wf-091","華人義山","new Chinese Cemetery",,,
"fi-wf-092","永福宮","Yongfu gong","Klenteng Ing Hok King",2.15772,100.8162
"fi-wf-093","鎮海宮","Zhenhai gong",,,
"fi-wf-094","雲武山斗母宮","Yunwu shan Doumu gong","Vihara Kirti",2.161468,100.8099
"fi-wf-095","斗母宮龍山寺","Doumu gong Longshan si","Kelenteng Tao Bu King Ling Shan Shi",2.161354,100.8104
"fi-wf-096","玄壇宮","Xuantan gong",,,
"fi-wf-097","金龍殿","Jinlong dian",,,
"fi-wf-098","青山宮","Qingshan gong",,,
"fi-wf-099","武當山","Wudangshan","Kelenteng THAY HO KIONG",2.168584,100.8069
"fi-wf-100","恩誥堂","Engao tang","VIHARA LING HONG TUAH",2.167706,100.8096
"fi-wf-101","黃氏墓地","cemetery of the Huang family",,,
"fi-wf-102","華人新義山","new Chinese Cemetery","Kuburan Agama Buddha Pelabuhan",2.150253,100.7935
"fi-wf-103","福安宮","Fu'an gong","Vihara Hok Ann Kiong",1.468739,102.1065
"fi-wf-104","華人義山","Chinese Cemetery","Pekuburan China",1.466889,102.1194
"fi-wf-105","甲必丹黃氏族墳","cemetery of former Kapitein's family Huang",,,
"fi-wf-106","甲必丹黃氏住宅","residence of former Kapttein's family Huang",,,
"fi-wf-107","呀謝古廟","Yashe gumiao",,,
"fi-wf-108","另置墓","Scattered tombstones",,,
"fi-wf-109","福德祠","Fude ci",,,
"fi-wf-110","華人義山","Chinese Cemetery",,0.990974,104.6123
"fi-wf-111","天后聖廟","Tianhou shengmiao","Klenteng Tian Hou Sheng",0.944598,104.435
"fi-wf-112","玄天上帝廟","Xuantian shangdi miao",,,
"fi-wf-113","天后宮","Tianhou gong",,,
"fi-wf-114","觀音亭","Guanyin ting",,,
"fi-wf-115","老爺公大伯公廟","Laoye gong Dabo gong miao",,0.930142,104.4502
"fi-wf-116","七條石舊墳場","old Cemetery at Seven Miles Stone",,,
"fi-wf-117","大坡舊墳場","old Cemetery at Senggarang",,,
"fi-wf-118","小坡舊墳場","Scattered tombstones",,0.959314,104.5185
"fi-wf-119","西興宮","Xixing gong","Kelenteng See Hin Kiong",-0.96212,100.3627
"fi-wf-120","華人義山","Chinese Cemetery",,-0.96935,100.3531
"fi-wf-121","華人義山","Chinese Cemetery",,,
"fi-wf-122","華人義山","Chinese Cemetery",,-0.47331,100.3875
"fi-wf-123","華人義山","Chinese Cemetery",,-0.25848,100.6274
"fi-wf-124","壽山亭","Shoushanting",,,
"fi-wf-125","福慶堂","Fuqing tang, Qingshui zushi miao",,,
"fi-wf-126","新華人義山","new Chinese Cemetery",,,
"fi-wf-127","另置墓","Single tombs",,,
"fi-wf-128","水月宮","Shuiyue gong, Guanyin miao","Kelenteng Kwan Im, Chandra Nadi Temple",-2.99265,104.7666
"fi-wf-129","鳳山寺","Fengshan si",,,
"fi-wf-130","福正廟","Fuzheng miao",,,
"fi-wf-131","威鎮宮","Weizhen gong","Kelenteng Wie Cin Keng",-2.99174,104.7731
"fi-wf-132","關帝廟, 義合廟, 協天宮","Guandi miao, Yihe miao, Xietian gong","Kelenteng Gie Hap Bio, Kwan Te Kong",-2.98812,104.7482
"fi-wf-133","福正廟","Fuzheng miao, Dabogong miao",,,
"fi-wf-134","德敬堂","Dejing tang","Tek kim tong kelenteng",-2.99478,104.7704
"fi-wf-135","三月宮, 火雲洞","Sanyue gong, Huoyun dong",,,
"fi-wf-136","老華人義山","ancient Chinese Cemetery",,-2.99502,104.7707
"fi-wf-137","另置墓","Single tombsone",,,
"fi-wf-138","林加必丹公館","residence of Kapitein Lin",,,
"fi-wf-139","福德祠","Fude ci","Kelenteng Amal Bakti Baturusa",-2.01822,106.1119
"fi-wf-140","協天宮, 福德祠, 義祝祠","Xietian gong, Fudeci, Yizhuci","Kelenteng Amal Bakti Baturusa",-2.01822,106.1119
"fi-wf-141","武帝廟","Wudi miao",,,
"fi-wf-142","華人墳場","Chinese Cemetery",,-3.27945,102.8583
"fi-wf-143","廣福廟","Guangfu ci","Kong Fuk Miau",-2.06685,105.1617
"fi-wf-144","先媽腰公館","former Majoor's residence",,,
"fi-wf-145","瑪腰墳場","tomb of the Zhong family",,,
"fi-wf-146","關帝廟","Guandi miao","Kwan Tie Miau",-2.1298,106.1152
"fi-wf-147","舊墳地","Sematung Cemetery, ancient Chinese Cemetery",,-2.141,106.1243
"fi-wf-148","高木路墳地","main Chinese cemetery",,-2.14131,106.1251
"fi-wf-149","關帝廟","Guandi miao, Xietian gong","Kelenteng Kwan Tie Miau Sungailiat",-1.85043,106.1199
"fi-wf-150","協天宮","Xietian gong",,,
"fi-wf-151","福德祠","Fudeci",,,
"fi-wf-152","白雲亭","Baiyun ting","Pek Hun Teng",-2.96925,104.7728
"fi-wf-153","雲池巖","Yunchi yan",,,
"fi-wf-154","福德祠/大伯公廟","Fudeci, Dabogong miao","Kelenteng Hok Tek Che",-2.742519,107.631542
"fi-wf-155","觀音廟","Guanyin miao","Kelenteng Kwan Im",-2.73766,107.6354
"fi-wf-156","廣東墳場","Guangdong Cemetery",,-2.75581,107.6625
"fi-wf-157","何家族墳場","cemetery of Hakka Kapitein He",,,
"fi-wf-158","鐘族墳場","cemetery of the Zhong Lineage",,-2.75519,107.6458
"fi-wf-159","另置墓","Single tombstones",,,
"fi-wf-160","福建義山","Fujian Cemetery",,-2.75133,107.6682
"fi-wf-161","昔中華學校","former Chinese School, Zhonghua xuexiao",,,
"fi-wf-162","華人義山","Chinese Cemetery",,,
"fi-wf-163","華人舊義山","ancient Cemetery",,,
"fi-wf-164","華僑義山","Chinese Cemetery",,,
"fi-wf-165","華人義山","ancient Chinese Cemetery",,,
"fi-wf-166","華人義山","Chinese Cemetery",,,
"fi-wf-167","華人義山","Chinese Cemetery",,-4.81418,104.8876
"fi-wf-168","將軍廟","Jiangjun miao (Tjiong Kiun Miuw)","Vihara Senapati",-5.47459,105.322
"fi-wf-169","慈善堂","Cishantang",,,
"fi-wf-170","華人舊義山","old Chinese Cemetery",,,
"fi-wf-171","華人義山","new Chinese Cemetery",,-5.35671,104.9461
"fi-wf-172","大興廟","Daxing miao","Vihara Bodhisattva",-5.45166,105.2594
"fi-wf-173","萬德院","Wandeyuan (Ban Tek Yan)",,,
"fi-wf-174","福建公塚","Fujian Cemetery",,,
"fi-wf-175","華人舊義山","old cemetery",,,
"fi-wf-176","楠榜客屬墳場","Hakka Cemetery",,,
"fi-wf-177","新華人墳場","new Chinese Cemetery",,,
"fi-wf-178","鳳山廟, 大使廟","Fengshan miao, Temple of the Phonix Mountain, Dashi miao","Vihara Bahtera Bhakti",-6.144722,106.812222
"fi-wf-179","金德院","Jinde yuan (Kim Tek Ie)","Dharma Bhakti Temple",-6.144444,106.8125
"fi-wf-180","安恤大伯公廟","Anxu dabogong miao, Temple to Dabogong of Ancol","Vihara Bahtera Bakti Ancol",-6.119882,106.855763
"fi-wf-181","地藏院","Dizang yuan, Temple to King of Underworld","Vihara Tri Ratna",-6.157519,106.833698
"fi-wf-182","陳氏祖廟","Chenshi zumiao, Temple of Ancestor of Chen","Temple of Ancestor of Chen",-6.14215,106.811022
"fi-wf-183","天后宮","Tianhou gong, Temple to Queen of Heaven","Vihara Dewi Samudra Pemangkat",-6.136667,106.801667
"fi-wf-184","魯班宮","Lu Ban gong, Temple to Lu Ban","Kelenteng Lupan",-6.140211,106.816444
"fi-wf-185","養濟院","yangji yuan, Hospice for Poor",,,
"fi-wf-186","李鐵拐先師廟","Li Tieguai xianshi miao, Temple to Late Master Li Tieguai","Vihara Bodhi Dharma",-6.159055,106.828029
"fi-wf-187","南靖廟","Nanjing miao, Lamcing Bio, Temple of Nanjing","Wihara Ariya Marga (Kwan Tee Bio, d/h Lam Ceng Tee Koen Bio)",-6.143067,106.808632
"fi-wf-188","呂洞賓廟","Lv Dongbin miao, Temple to Lv Dongbin","Vihara Dharma Paramita",-6.142043,106.803358
"fi-wf-189","三元宮","Sanyuan gong, Sam Niang Kiong, Sam Yam Kung, Temple to Rulers of Three Worlds","Klenteng San Yuan Gong",-6.138684,106.814155
"fi-wf-190","完劫寺","Wanjie si, Temple of Completed Kalpa","Wihara Buddhayana",-6.831941,107.55591
"fi-wf-191","魯國大夫廟","Luguo dafu miao, Temple to Minister of State of Lu","Dharma Karya Angsapura (Lou Pan Bio) Temple",-6.141413,106.802664
"fi-wf-192","陳氏宗祠","Chenshi zongci, Ancestral Temple of Chen","Ancestral Temple of Chen",-6.13978,106.81612
"fi-wf-193","洪溪廟","Hongxi miao, Temple of Angke","Dharma Tedja Temple",-6.143126,106.800123
"fi-wf-194","魯國大夫廟","Luguo dafu miao, Temple to Minister of State of Lu","Temple to the Minister of the State of Lu",,
"fi-wf-195","大伯宮, 油米行會廟","Dabo gong, Temple of Youmi hanghui","Vihara Padi Lapa",-6.136824,106.806368
"fi-wf-196","吧城義祠","Bacheng yici, collective Ancestral Temple of Batavia","Rumah Abu (Chinese Ancestral Temple)",-6.152924,106.787643
"fi-wf-197","劉氏宗祠","Liushi zongci, Lioe Se Tjioeng Tje, Lauw Se Tjoeng Tje, Ancesreal Temple of Liu","Ancestral Temple of Liu",-6.138372,106.81505
"fi-wf-198","玄天上帝廟, 紅牌廟","Xuantian shangdi miao, Temple to Xuantian shangdi, Hongpai miao, Temple of Paal Mcrah","Temple of Paal Merah",-6.209004,106.795473
"fi-wf-199","古城會館","Gucheng huiguan, Ku Seng Tang, Association of Gucheng","Ku Seng Tang",-6.139552,106.816196
"fi-wf-200","福莆僊總義祠","Fupuxian zongyici, Collective Ancestral Temple of peaple from Fuqing Putian Xianyou","Yayasan Hock Pou Sen",-6.142201,106.818816
"fi-wf-201","廣化寺","Guanghua si, Temple of Great Transformation","Vihara Kong Hoa Sie / Vaipulya Sasana",-6.142224,106.818754
"fi-wf-202","雅加達舊墳墓地","ancient cemeteries at Jakarta","ancient cemetery at Jakarta",-6.140472,106.827596
"fi-wf-203","吧國公堂","Baguo gongtang, Council of Chinese at Batavia","Council of Chinese at Batavia",,
"fi-wf-204","陳氏神主","Ancestral tables of the Chen Family","Rumah Keluarga Souw",,
"fi-wf-205","蘇氏神主","Ancestral tables of the Su Family","Rumah Keluarga Souw",-6.141836,106.809764
"fi-wf-206","協天宮","Xietian gong, Hiap Thian Kiong, Temple of Assistance to Heaven","Satya Budhi Temple",-6.917748,107.593768
"fi-wf-207","南善堂","Nanshan tang, Ban Sian Tong","Yasodara Temple",-6.922124,107.591314
"fi-wf-208","萬隆華人墓地","Chinese cemetery of Bandung","Cikadut Memorial Hill",-6.901936,107.666875
"fi-wf-209","萬德院, 萬丹佛院","Wande yuan Temple of Ten Thousand Virtues, Wandan foyuan","Vihara Avalokitesvara",-6.03045,106.149465
"fi-wf-210","下港博物館內墓碑","Tombstones in museum of Banten","Museum Negeri Banten",-6.038379,106.158425
"fi-wf-211","「八芝蘭」鄰近墓地","Tombstones still in situ, around former Pecinan or Chinese quarter",,,
"fi-wf-212","福德廟","Fude miao, Temple of Happiness and Virtue","Vihara Dhanagun",-6.603365,106.79919
"fi-wf-213","盤古廟","Pan Gu miao, Temple to Pan Gu","Klenteng Pulogeulis Pankho",-6.605097,106.803664
"fi-wf-214","光義山","Chinese cemetery of Guangyi shan",,,
"fi-wf-215","福德祠","Fude ci, Temple of Happiness and Virtue","humi Pharsija Temple",-6.821466,107.141617
"fi-wf-216","觀音亭（玄壇廟）","Guanyin ting and Xuantan miao","Klenteng Han Tan Kong Cileungsi",-6.394086,106.955397
"fi-wf-217","潮覺寺","Chaojue si (Tiao Kak Sie)， Flow of Enlightenment Temple","Vihara Dewi Welas Asih",-6.717921,108.570334
"fi-wf-218","義祠（孔道教堂）","yici, Collective Ancestral Temple, Kongdao jiaotang, Temple for Learning fo Conducianism","kelenteng Khongcu Bio",-6.719698,108.569424
"fi-wf-219","汶山堂","Wenshan tang, Temple of Carbon","Wihara Pemancar Keselamatan",-6.720716,108.566233
"fi-wf-220","私家墓園遺址","remains of private cemetery of Pamitran","private cemetery of Pamitran",-6.712415,108.541524
"fi-wf-221","思甲利蚋之私家墓園","private cemetery of Sukalila","Makam Tumenggung Aria Wiracula Tan Sam Tjai Khong",-6.714134,108.560326
"fi-wf-222","甲里丹絨義山","cemetery of Kali Tanjung","Semarang Tanjung Sari Kecamatan Palas Bangunan",-5.630545,105.652987
"fi-wf-223","晏清廟","Yanqingmiao, An Tjeng Bio, Temple of Purity and Calm","Vihãra Dharma Rahayu An Tjeng Bio",-6.331189,108.325232
"fi-wf-224","晏清廟內之墓碑","Tomstones inside courtyard of Yanqing miao","Vihãra Dharma Rahayu An Tjeng Bio",-6.331189,108.325232
"fi-wf-225","華人義山","Chinese community cemetery","Chinese Community Cemetery",,
"fi-wf-226","法妙仙人姑婆廟","Famiao xianren gupomiao, Temple of Fairy our Aunt, Xianmu gong, Temple of Fair our Mother","Sian Djin Ku Poh TempleSian Djin Ku Poh Temple",-6.275714,107.267041
"fi-wf-227","威德廟","Weide miao","Weide Miao",,
"fi-wf-228","文德廟","Wende miao (Boen Tek Bio), Temple of Virtue of Benteng","Vihara Padumuttara",-6.179196,106.629638
"fi-wf-229","黃氏佳城","Huangshi Jiacheng, Private Cemetery of Huang (Oey) Family","Makam Oey Tek Kiang",-6.018111,106.673923
"fi-wf-230","丹絨加逸廟, 清水祖師廟","Tanjung Kait miao, Qingshui zushi miao, Temple to Qingshui zushi, Zushigong miao, Temple to Our Lord Patron Saint","Tjoe Soe Kong Bio Temple / Vihara Tanjung Kait Tri Dharma",-6.016188,106.539159
"fi-wf-231","大伯公廟","Dabogon miao, Temple to Earth God","Temple to the Earth God",,
"fi-wf-232","聖墓地","cemetery of Kebon Baru","cemetery of Kebon Baru",-6.043598,106.512699
"fi-wf-233","三寶洞","Sanbao dong (Sam Po Tong), Cave of Sanbao","SAM POO KONG",-6.996272,110.39806
"fi-wf-234","澤海廟","Zehai miao, Temple of Favouring Sea","Tek Hay Bio Temple",-6.977921,110.426538
"fi-wf-235","厚福廟","Houfou miao, Temple of Great Happiness","Houfu miao",-6.974988,110.424952
"fi-wf-236","威惠宮","Weihui gong, Temple of Majesty and Kindness, Chenshijiamiao, Ancestral Temple of Chen Family","Hwie Wie Kiong Temple",-6.979089,110.425709
"fi-wf-237","大覺寺","Dajue si (Tay Kak Sie), Temple of Great Enlightenment, Great Temple","Klenteng Besar TITD Tay Kak Sie",-6.974122,110.427847
